customer_id,recency_score,frequency_score,monetary_score,rfm_score,customer_segmentation
387700,1,3,1,131,Hibernating
424703,1,1,3,113,Hibernating
419001,1,1,3,113,Hibernating
124907,3,1,3,313,Recent Customer
155964,3,1,3,313,Recent Customer
334695,3,1,3,313,Recent Customer
129710,1,3,1,131,Hibernating
251726,3,1,3,313,Recent Customer
387047,1,1,3,113,Hibernating
348979,3,1,3,313,Recent Customer
133205,2,1,3,213,At Risk
152359,3,1,3,313,Recent Customer
392708,2,1,3,213,At Risk
255352,3,1,3,313,Recent Customer
269053,3,1,3,313,Recent Customer
332209,1,1,3,113,Hibernating
286870,1,1,3,113,Hibernating
423786,1,1,3,113,Hibernating
252733,3,1,3,313,Recent Customer
125910,3,1,3,313,Recent Customer
414341,1,3,1,131,Hibernating
432502,1,3,1,131,Hibernating
70922,2,1,3,213,At Risk
431514,1,1,3,113,Hibernating
415235,1,3,1,131,Hibernating
154304,3,1,3,313,Recent Customer
431370,1,3,1,131,Hibernating
382079,1,3,1,131,Hibernating
293045,3,1,3,313,Recent Customer
270618,2,1,3,213,At Risk
426472,1,3,1,131,Hibernating
398995,1,3,1,131,Hibernating
360112,2,1,3,213,At Risk
296806,3,1,3,313,Recent Customer
365747,1,1,3,113,Hibernating
415244,1,1,3,113,Hibernating
400893,1,1,3,113,Hibernating
424053,1,3,1,131,Hibernating
249153,1,3,1,131,Hibernating
181937,3,1,3,313,Recent Customer
257175,3,1,3,313,Recent Customer
175526,1,1,3,113,Hibernating
433890,1,1,3,113,Hibernating
285114,2,1,3,213,At Risk
19500,1,1,3,113,Hibernating
406320,2,1,3,213,At Risk
391557,2,1,3,213,At Risk
425755,1,3,1,131,Hibernating
344476,1,3,1,131,Hibernating
434852,1,1,3,113,Hibernating
367839,1,3,1,131,Hibernating
286027,2,1,3,213,At Risk
257469,2,1,3,213,At Risk
362085,1,3,1,131,Hibernating
331448,2,1,3,213,At Risk
290074,3,1,3,313,Recent Customer
368389,3,1,3,313,Recent Customer
432235,1,1,3,113,Hibernating
382584,1,3,1,131,Hibernating
335114,1,3,1,131,Hibernating
414696,2,1,3,213,At Risk
276083,1,1,3,113,Hibernating
4344,3,1,3,313,Recent Customer
386994,2,1,3,213,At Risk
296454,3,1,3,313,Recent Customer
294602,3,1,3,313,Recent Customer
90062,2,1,3,213,At Risk
407666,1,3,1,131,Hibernating
131514,1,1,3,113,Hibernating
166052,3,1,3,313,Recent Customer
402889,1,3,1,131,Hibernating
425200,1,1,3,113,Hibernating
419964,1,3,1,131,Hibernating
271491,3,1,3,313,Recent Customer
404440,2,1,3,213,At Risk
174093,2,1,3,213,At Risk
261574,1,3,1,131,Hibernating
433861,1,1,3,113,Hibernating
260671,3,1,3,313,Recent Customer
243213,3,1,3,313,Recent Customer
170667,1,3,1,131,Hibernating
195725,3,1,3,313,Recent Customer
258832,3,1,3,313,Recent Customer
215999,1,3,1,131,Hibernating
366548,3,1,3,313,Recent Customer
271608,3,1,3,313,Recent Customer
241806,2,1,3,213,At Risk
252477,1,1,3,113,Hibernating
333680,1,1,3,113,Hibernating
322135,1,1,3,113,Hibernating
424549,1,3,1,131,Hibernating
385736,1,1,3,113,Hibernating
331534,2,1,3,213,At Risk
215227,1,3,1,131,Hibernating
106800,1,3,1,131,Hibernating
248517,2,1,3,213,At Risk
385480,1,1,3,113,Hibernating
405797,1,1,3,113,Hibernating
424367,2,1,3,213,At Risk
397787,1,3,1,131,Hibernating
402494,1,1,3,113,Hibernating
254033,2,1,3,213,At Risk
371285,2,1,3,213,At Risk
40740,1,1,3,113,Hibernating
384278,2,1,3,213,At Risk
257892,1,3,1,131,Hibernating
416404,1,3,1,131,Hibernating
345515,2,1,3,213,At Risk
175860,3,1,3,313,Recent Customer
35850,3,1,3,313,Recent Customer
240063,1,3,1,131,Hibernating
290501,3,1,3,313,Recent Customer
342060,3,1,3,313,Recent Customer
186623,2,1,3,213,At Risk
353013,2,1,3,213,At Risk
333238,1,3,1,131,Hibernating
261857,3,1,3,313,Recent Customer
195706,3,1,3,313,Recent Customer
383732,1,1,3,113,Hibernating
367816,1,3,1,131,Hibernating
427290,1,3,1,131,Hibernating
425401,1,3,1,131,Hibernating
403321,1,1,3,113,Hibernating
155484,1,3,1,131,Hibernating
440035,1,3,1,131,Hibernating
261401,2,1,3,213,At Risk
105065,3,1,3,313,Recent Customer
372262,2,1,3,213,At Risk
62926,3,1,3,313,Recent Customer
199449,3,1,3,313,Recent Customer
